0,0.7,1,1,1,0.2,0.4
0.7,0,0.9,0.9,1,0.3,0.4
1,0.9,0,0.1,0.1,0.9,0.9
1,0.9,0.1,0,0.3,0.9,1
1,1,0.1,0.3,0,1,1
0.2,0.3,0.9,0.9,1,0,1
0.4,0.4,0.9,1,1,1,0
